,Unnamed: 0,title,id,daily_sum
0,2023-03-01,Ukraine,31750,0.6376727693754976
1,2023-03-02,Ukraine,31750,0.6004776032998046
2,2023-03-03,Ukraine,31750,0.5379549895072002
3,2023-03-04,Ukraine,31750,0.5607496924524206
4,2023-03-05,Ukraine,31750,0.5511252623199943
5,2023-03-06,Ukraine,31750,0.6309429046964324
6,2023-03-07,Ukraine,31750,0.5909255373037123
7,2023-03-08,Ukraine,31750,0.51103553079094
8,2023-03-09,Ukraine,31750,0.6319560026051089
9,2023-03-10,Ukraine,31750,0.5062594977928938
10,2023-03-11,Ukraine,31750,0.41551487083001665
11,2023-03-12,Ukraine,31750,0.4962008828424633
12,2023-03-13,Ukraine,31750,0.45379549895072
13,2023-03-14,Ukraine,31750,0.45017729213401836
14,2023-03-15,Ukraine,31750,0.464794847673493
15,2023-03-16,Ukraine,31750,0.4777480280772849
16,2023-03-17,Ukraine,31750,0.5049569433388813
17,2023-03-18,Ukraine,31750,0.38049062884434476
18,2023-03-19,Ukraine,31750,0.46906433171720097
19,2023-03-20,Ukraine,31750,0.46501194008249513
20,2023-03-21,Ukraine,31750,0.41862652869238004
21,2023-03-22,Ukraine,31750,0.3940950864751429
22,2023-03-23,Ukraine,31750,0.3872928576597438
23,2023-03-24,Ukraine,31750,0.33938779940661407
24,2023-03-25,Ukraine,31750,0.3265069831391562
25,2023-03-26,Ukraine,31750,0.4451841667269701
26,2023-03-27,Ukraine,31750,0.35624864317244376
27,2023-03-28,Ukraine,31750,0.35082133294739126
28,2023-03-29,Ukraine,31750,0.2913380128808163
29,2023-03-30,Ukraine,31750,0.2923511107894927
30,2023-03-31,Ukraine,31750,0.3707214704392503
31,2023-04-01,Ukraine,31750,0.18271944424343295
32,2023-04-02,Ukraine,31750,0.22780230117953543
33,2023-04-03,Ukraine,31750,0.2925682031984948
34,2023-04-04,Ukraine,31750,0.26514219552789636
35,2023-04-05,Ukraine,31750,0.1332223749909545
36,2023-04-06,Ukraine,31750,0.11701280845213112
37,2023-04-07,Ukraine,31750,0.08785006150951588
38,2023-04-08,Ukraine,31750,0.08618568637383313
39,2023-04-09,Ukraine,31750,0.12063101526883277
